code,name,role
AFG,Afghanistan,un_member_in_un_un_pairs
AGO,Angola,un_member_in_un_un_pairs
ALB,Albania,un_member_in_un_un_pairs
AND,Andorra,un_member_in_un_un_pairs
ARE,United Arab Emirates,un_member_in_un_un_pairs
ARG,Argentina,un_member_in_un_un_pairs
ARM,Armenia,un_member_in_un_un_pairs
ATG,Antigua and Barbuda,un_member_in_un_un_pairs
AUS,Australia,un_member_in_un_un_pairs
AUT,Austria,un_member_in_un_un_pairs
AZE,Azerbaijan,un_member_in_un_un_pairs
BDI,Burundi,un_member_in_un_un_pairs
BEL,Belgium,un_member_in_un_un_pairs
BEN,Benin,un_member_in_un_un_pairs
BFA,Burkina Faso,un_member_in_un_un_pairs
BGD,Bangladesh,un_member_in_un_un_pairs
BGR,Bulgaria,un_member_in_un_un_pairs
BHR,Bahrain,un_member_in_un_un_pairs
BHS,Bahamas,un_member_in_un_un_pairs
BIH,Bosnia and Herzegovina,un_member_in_un_un_pairs
BLR,Belarus,un_member_in_un_un_pairs
BLZ,Belize,un_member_in_un_un_pairs
BOL,Bolivia (Plurinational State of),un_member_in_un_un_pairs
BRA,Brazil,un_member_in_un_un_pairs
BRB,Barbados,un_member_in_un_un_pairs
BRN,Brunei Darussalam,un_member_in_un_un_pairs
BTN,Bhutan,un_member_in_un_un_pairs
BWA,Botswana,un_member_in_un_un_pairs
CAF,Central African Republic,un_member_in_un_un_pairs
CAN,Canada,un_member_in_un_un_pairs
CHE,Switzerland,un_member_in_un_un_pairs
CHL,Chile,un_member_in_un_un_pairs
CHN,China,un_member_in_un_un_pairs
CIV,Côte d'Ivoire,un_member_in_un_un_pairs
CMR,Cameroon,un_member_in_un_un_pairs
COD,"Congo, Democratic Republic of the",un_member_in_un_un_pairs
COG,Congo,un_member_in_un_un_pairs
COL,Colombia,un_member_in_un_un_pairs
COM,Comoros,un_member_in_un_un_pairs
CPV,Cabo Verde,un_member_in_un_un_pairs
CRI,Costa Rica,un_member_in_un_un_pairs
CUB,Cuba,un_member_in_un_un_pairs
CYP,Cyprus,un_member_in_un_un_pairs
CZE,Czechia,un_member_in_un_un_pairs
DEU,Germany,un_member_in_un_un_pairs
DJI,Djibouti,un_member_in_un_un_pairs
DMA,Dominica,un_member_in_un_un_pairs
DNK,Denmark,un_member_in_un_un_pairs
DOM,Dominican Republic,un_member_in_un_un_pairs
DZA,Algeria,un_member_in_un_un_pairs
ECU,Ecuador,un_member_in_un_un_pairs
EGY,Egypt,un_member_in_un_un_pairs
ERI,Eritrea,un_member_in_un_un_pairs
ESP,Spain,un_member_in_un_un_pairs
EST,Estonia,un_member_in_un_un_pairs
ETH,Ethiopia,un_member_in_un_un_pairs
FIN,Finland,un_member_in_un_un_pairs
FJI,Fiji,un_member_in_un_un_pairs
FRA,France,un_member_in_un_un_pairs
FSM,Micronesia (Federated States of),un_member_in_un_un_pairs
GAB,Gabon,un_member_in_un_un_pairs
GBR,United Kingdom of Great Britain and Northern Ireland,un_member_in_un_un_pairs
GEO,Georgia,un_member_in_un_un_pairs
GHA,Ghana,un_member_in_un_un_pairs
GIN,Guinea,un_member_in_un_un_pairs
GMB,Gambia,un_member_in_un_un_pairs
GNB,Guinea-Bissau,un_member_in_un_un_pairs
GNQ,Equatorial Guinea,un_member_in_un_un_pairs
GRC,Greece,un_member_in_un_un_pairs
GRD,Grenada,un_member_in_un_un_pairs
GTM,Guatemala,un_member_in_un_un_pairs
GUY,Guyana,un_member_in_un_un_pairs
HND,Honduras,un_member_in_un_un_pairs
HRV,Croatia,un_member_in_un_un_pairs
HTI,Haiti,un_member_in_un_un_pairs
HUN,Hungary,un_member_in_un_un_pairs
IDN,Indonesia,un_member_in_un_un_pairs
IND,India,un_member_in_un_un_pairs
IRL,Ireland,un_member_in_un_un_pairs
IRN,Iran (Islamic Republic of),un_member_in_un_un_pairs
IRQ,Iraq,un_member_in_un_un_pairs
ISL,Iceland,un_member_in_un_un_pairs
ISR,Israel,un_member_in_un_un_pairs
ITA,Italy,un_member_in_un_un_pairs
JAM,Jamaica,un_member_in_un_un_pairs
JOR,Jordan,un_member_in_un_un_pairs
JPN,Japan,un_member_in_un_un_pairs
KAZ,Kazakhstan,un_member_in_un_un_pairs
KEN,Kenya,un_member_in_un_un_pairs
KGZ,Kyrgyzstan,un_member_in_un_un_pairs
KHM,Cambodia,un_member_in_un_un_pairs
KIR,Kiribati,un_member_in_un_un_pairs
KNA,Saint Kitts and Nevis,un_member_in_un_un_pairs
KOR,"Korea, Republic of",un_member_in_un_un_pairs
KWT,Kuwait,un_member_in_un_un_pairs
LAO,Lao People's Democratic Republic,un_member_in_un_un_pairs
LBN,Lebanon,un_member_in_un_un_pairs
LBR,Liberia,un_member_in_un_un_pairs
LBY,Libya,un_member_in_un_un_pairs
LCA,Saint Lucia,un_member_in_un_un_pairs
LKA,Sri Lanka,un_member_in_un_un_pairs
LSO,Lesotho,un_member_in_un_un_pairs
LTU,Lithuania,un_member_in_un_un_pairs
LUX,Luxembourg,un_member_in_un_un_pairs
LVA,Latvia,un_member_in_un_un_pairs
MAR,Morocco,un_member_in_un_un_pairs
MDA,Republic of Moldova,un_member_in_un_un_pairs
MDG,Madagascar,un_member_in_un_un_pairs
MDV,Maldives,un_member_in_un_un_pairs
MEX,Mexico,un_member_in_un_un_pairs
MHL,Marshall Islands,un_member_in_un_un_pairs
MKD,North Macedonia,un_member_in_un_un_pairs
MLI,Mali,un_member_in_un_un_pairs
MLT,Malta,un_member_in_un_un_pairs
MMR,Myanmar,un_member_in_un_un_pairs
MNE,Montenegro,un_member_in_un_un_pairs
MNG,Mongolia,un_member_in_un_un_pairs
MOZ,Mozambique,un_member_in_un_un_pairs
MRT,Mauritania,un_member_in_un_un_pairs
MUS,Mauritius,un_member_in_un_un_pairs
