exporterISO,exporterName,importerISO,importerName,exp_2020,imp_2020,exp_2021,imp_2021,exp_2022,imp_2022,exp_2023,imp_2023,exp_2024,imp_2024
ABW,ABW,COL,Colombia,502.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,ABW,CUW,CUW,0.0,10335.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,ABW,GRD,Grenada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.067
ABW,ABW,JOR,Jordan,0.0,633.803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,ABW,MDV,Maldives,0.0,374.373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,ABW,PAN,Panama,0.0,0.0,32012.849,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,ABW,SYC,Seychelles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.648
ABW,ABW,USA,United States of America,0.0,0.0,0.0,0.0,993.855,0.0,0.0,0.0,0.0,0.0
ABW,ABW,W00,World (All partners),563.128,0.0,32073.184,0.0,39857.541,0.0,11284.916,0.0,0.0,0.0
ABW,ABW,_X ,Areas not elsewhere specified (NES),60.335,0.0,60.335,0.0,38863.687,0.0,11284.916,0.0,0.0,0.0
AFG,Afghanistan,ARE,United Arab Emirates,0.0,8285.991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Afghanistan,AUT,Austria,0.0,0.0,0.0,0.0,0.0,4950.382,0.0,9235.115,0.0,0.0
AFG,Afghanistan,BEL,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.886,0.0,0.0
AFG,Afghanistan,CAN,Canada,0.0,290.049,0.0,42552.821,0.0,0.0,0.0,83.709,0.0,65107.945
AFG,Afghanistan,CHE,Switzerland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46616.389,0.0,0.0
AFG,Afghanistan,DEU,Germany,0.0,0.0,0.0,0.0,0.0,14.824,0.0,0.0,0.0,309.123
AFG,Afghanistan,ESP,Spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48065.314
AFG,Afghanistan,GBR,United Kingdom of Great Britain and Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2927.236
AFG,Afghanistan,GHA,Ghana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.656,0.0,0.0
AFG,Afghanistan,KAZ,Kazakhstan,0.0,0.0,0.0,1996.0,0.0,0.0,0.0,60156.2,0.0,4719.05
AFG,Afghanistan,KGZ,Kyrgyzstan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59120.0,0.0,9900.0
AFG,Afghanistan,MDV,Maldives,0.0,1562.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Afghanistan,MLI,Mali,0.0,0.0,0.0,13678.923,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Afghanistan,MOZ,Mozambique,0.0,19978.66,0.0,26768.462,0.0,10452.781,0.0,52000.0,0.0,26424.3
AFG,Afghanistan,MYS,Malaysia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3942.443,0.0,0.0
AFG,Afghanistan,NLD,Netherlands,0.0,0.0,0.0,6027.245,0.0,0.0,0.0,354.656,0.0,0.0
AFG,Afghanistan,NPL,Nepal,0.0,0.0,0.0,2.12,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Afghanistan,NZL,New Zealand,0.0,0.0,0.0,0.0,0.0,1865.985,0.0,0.0,0.0,0.0
AFG,Afghanistan,PAK,Pakistan,0.0,2141599.809,0.0,1259193.181,0.0,1142302.595,0.0,1568774.736,0.0,4331850.282
AFG,Afghanistan,SWE,Sweden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1324.799
AFG,Afghanistan,TJK,Tajikistan,0.0,2250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Afghanistan,UGA,Uganda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0
AFG,Afghanistan,USA,United States of America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6132.0
AFG,Afghanistan,UZB,Uzbekistan,0.0,0.0,0.0,5934.0,0.0,1232.0,0.0,1600.0,0.0,150467.0
AGO,Angola,ARE,United Arab Emirates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.77,0.0
AGO,Angola,ATG,Antigua and Barbuda,0.0,0.0,64.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,Angola,BGR,Bulgaria,0.0,0.0,0.0,0.0,0.0,509.101,0.0,77.392,0.0,0.0
AGO,Angola,BHS,Bahamas,224.343,0.0,0.0,0.0,0.0,0.0,104.527,0.0,0.0,0.0
AGO,Angola,CAN,Canada,0.0,0.0,0.0,0.0,62.966,0.0,0.0,0.0,237.8,0.0
AGO,Angola,COD,"Congo, Democratic Republic of the",196850.905,0.0,5686.856,9142.534,171256.963,164476.817,249984.153,102481.72,327550.67,0.0
AGO,Angola,COG,Congo,311.279,0.0,9524.191,0.0,12063.354,0.0,1478.058,0.0,5800.1,0.0
AGO,Angola,CUB,Cuba,195.599,0.0,0.0,0.0,329.158,9997.5,410.662,0.0,22557.03,0.0
