exporterISO,exporterName,importerISO,importerName,exp_2020,imp_2020,exp_2021,imp_2021,exp_2022,imp_2022,exp_2023,imp_2023,exp_2024,imp_2024
A59,A59,ISR,Israel,0.0,10898000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A59,A59,MEX,Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.0
ABW,ABW,ARE,United Arab Emirates,0.0,597.686,0.0,12704.152,0.0,77543.905,0.0,0.0,0.0,0.0
ABW,ABW,BEL,Belgium,0.0,0.0,0.0,77825.176,0.0,111.886,0.0,2.076,0.0,0.996
ABW,ABW,CAN,Canada,0.0,0.0,0.0,0.0,0.0,14.598,0.0,0.0,0.0,0.0
ABW,ABW,COL,Colombia,975.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,ABW,CRI,Costa Rica,0.0,105.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,ABW,CUW,CUW,55.866,0.0,2131.844,0.0,0.0,0.0,9281.564,0.0,0.0,0.0
ABW,ABW,DOM,Dominican Republic,0.0,2274924.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,ABW,FRA,France,0.0,0.0,0.0,2191928.855,0.0,0.0,0.0,0.0,0.0,0.0
ABW,ABW,GHA,Ghana,0.0,0.0,0.0,32597.689,0.0,0.0,0.0,0.0,0.0,0.0
ABW,ABW,GRD,Grenada,0.0,31747.41,0.0,0.0,0.0,0.0,0.0,46092.596,0.0,40348.459
ABW,ABW,GTM,Guatemala,0.0,643460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,ABW,GUY,Guyana,0.0,0.0,0.0,823747.473,0.0,11401986.751,0.0,8417369.807,0.0,2314785.521
ABW,ABW,IND,India,0.0,0.0,0.0,1269089.491,0.0,0.0,0.0,0.0,0.0,0.0
ABW,ABW,ITA,Italy,0.0,0.0,0.0,0.0,0.0,1604.846,0.0,0.0,0.0,0.0
ABW,ABW,JOR,Jordan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99957.746,0.0,0.0
ABW,ABW,KOR,"Korea, Republic of",0.0,83854257.0,0.0,92997518.0,0.0,11906.0,0.0,17866.0,0.0,80234.0
ABW,ABW,NLD,Netherlands,61.453,0.0,152.514,6971294.925,0.0,347.506,0.0,209.766,0.0,303.067
