code,count,is_iso_like,reason,name
W00,1350,False,non_un_member,World (All partners)
S19,1038,False,non_un_member,S19
HKG,901,True,non_un_member,HKG
_X,624,False,non_un_member,Areas not elsewhere specified (NES)
PYF,382,True,non_un_member,PYF
CUW,368,True,non_un_member,CUW
MAC,341,True,non_un_member,MAC
CYM,326,True,non_un_member,CYM
PSE,324,True,non_un_member,PSE
BMU,312,True,non_un_member,BMU
NCL,275,True,non_un_member,NCL
GIB,273,True,non_un_member,GIB
ABW,266,True,non_un_member,ABW
VGB,259,True,non_un_member,VGB
TCA,228,True,non_un_member,TCA
MSR,199,True,non_un_member,MSR
ASM,193,True,non_un_member,ASM
NLD,188,,,
AIA,182,True,non_un_member,AIA
FRO,180,True,non_un_member,FRO
GUM,178,True,non_un_member,GUM
FRA,178,,,
COK,170,True,non_un_member,COK
E19,170,False,non_un_member,E19
SHN,166,True,non_un_member,SHN
BEL,163,,,
TKL,159,True,non_un_member,TKL
CAN,156,,,
USA,154,,,
GBR,154,,,
GRL,153,True,non_un_member,GRL
DEU,153,,,
SXM,150,True,non_un_member,SXM
BRA,148,,,
POL,146,,,
ESP,146,,,
UMI,141,True,non_un_member,UMI
SWE,141,,,
TUR,140,,,
ITA,138,,,
ZAF,135,,,
IRL,133,,,
MNP,132,True,non_un_member,MNP
KOR,132,,,
SGP,127,,,
DNK,124,,,
AUS,123,,,
THA,123,,,
VAT,122,True,non_un_member,VAT
CZE,121,,,
CCK,121,True,non_un_member,CCK
ARE,120,,,
IOT,118,True,non_un_member,IOT
NZL,117,,,
BES,114,True,non_un_member,BES
BLM,113,True,non_un_member,BLM
ATA,112,True,non_un_member,ATA
IND,112,,,
CHN,111,,,
X1,110,False,non_un_member,X1
WLF,109,True,non_un_member,WLF
PRT,109,,,
AUT,107,,,
SVK,107,,,
PCN,106,True,non_un_member,PCN
GRC,106,,,
NIU,105,True,non_un_member,NIU
JPN,105,,,
MYS,103,,,
FLK,101,True,non_un_member,FLK
CXR,98,True,non_un_member,CXR
FIN,98,,,
IDN,97,,,
LUX,93,,,
CHE,93,,,
BGR,91,,,
ATF,89,True,non_un_member,ATF
PER,89,,,
PHL,88,,,
TTO,88,,,
RUS,87,,,
ISR,86,,,
SVN,86,,,
UKR,85,,,
COL,83,,,
ROU,83,,,
NOR,83,,,
F19,81,False,non_un_member,F19
EST,80,,,
SAU,80,,,
MEX,79,,,
HUN,77,,,
DOM,76,,,
SPM,75,True,non_un_member,SPM
PAK,75,,,
NAM,74,,,
NFK,74,True,non_un_member,NFK
LVA,74,,,
FJI,73,,,
MOZ,72,,,
CRI,71,,,
LTU,71,,,
BHR,66,,,
SRB,66,,,
LKA,65,,,
HRV,65,,,
ESH,65,True,non_un_member,ESH
KEN,63,,,
PNG,62,,,
CIV,62,,,
X2,61,False,non_un_member,X2
CYP,61,,,
GUY,61,,,
ATG,60,,,
ECU,60,,,
NGA,60,,,
PAN,59,,,
AGO,57,,,
GHA,57,,,
JAM,57,,,
CHL,56,,,
BIH,56,,,
SGS,56,True,non_un_member,SGS
SLV,56,,,
BOL,55,,,
BRB,54,,,
GTM,54,,,
EGY,53,,,
ISL,53,,,
ARM,52,,,
TZA,51,,,
KWT,51,,,
ZMB,50,,,
BRN,50,,,
VCT,50,,,
MUS,50,,,
LBN,49,,,
OMN,49,,,
ZWE,48,,,
NIC,48,,,
URY,48,,,
GAB,47,,,
HND,46,,,
HMD,46,True,non_un_member,HMD
ALB,45,,,
CMR,45,,,
BVT,45,True,non_un_member,BVT
MAR,44,,,
MNE,44,,,
WSM,43,,,
LAO,43,,,
XX,43,False,non_un_member,XX
MLT,43,,,
PRY,43,,,
SEN,43,,,
GRD,42,,,
MDA,42,,,
BHS,42,,,
COD,42,,,
AZE,41,,,
SUR,41,,,
ARG,40,,,
KHM,40,,,
MMR,40,,,
TUN,40,,,
DMA,39,,,
KAZ,39,,,
NPL,39,,,
BLR,38,,,
IRN,38,,,
VNM,37,,,
MKD,37,,,
UZB,37,,,
MWI,36,,,
JOR,35,,,
MDG,35,,,
BLZ,34,,,
LCA,34,,,
RWA,34,,,
BFA,33,,,
CPV,33,,,
DJI,33,,,
KGZ,33,,,
ETH,32,,,
SYC,31,,,
BEN,31,,,
CUB,31,,,
MLI,31,,,
NER,30,,,
QAT,30,,,
SWZ,30,,,
TON,29,,,
BDI,29,,,
BWA,29,,,
UGA,28,,,
MDV,27,,,
GEO,27,,,
GMB,27,,,
LSO,26,,,
LBR,25,,,
MNG,25,,,
MRT,25,,,
COG,24,,,
AND,24,,,
TGO,21,,,
CAF,20,,,
O19,20,False,non_un_member,O19
TLS,20,,,
TJK,20,,,
BTN,17,,,
BGD,15,,,
A79,14,False,non_un_member,A79
KIR,14,,,
COM,13,,,
VEN,13,,,
STP,12,,,
A59,10,False,non_un_member,A59
AFG,10,,,
SLB,9,,,
SLE,9,,,
DZA,9,,,
VUT,8,,,
GIN,8,,,
KNA,8,,,
PRK,8,,,
IRQ,7,,,
MHL,7,,,
NRU,7,,,
FSM,6,,,
HTI,6,,,
TCD,6,,,
SMR,6,,,
YEM,6,,,
SYR,5,,,
TUV,5,,,
SDN,5,,,
GNQ,5,,,
TKM,5,,,
PLW,4,,,
SOM,4,,,
ERI,4,,,
LBY,4,,,
ATB,3,True,non_un_member,ATB
GNB,3,,,
SSD,3,,,
