exporterISO,importerISO,exp_2020,imp_2020,exp_2021,imp_2021,exp_2022,imp_2022,exp_2023,imp_2023,exp_2024,imp_2024
ABW,COL,502.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,CUW,0.0,10335.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,GRD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.067
ABW,JOR,0.0,633.803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,MDV,0.0,374.373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,PAN,0.0,0.0,32012.849,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,SYC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.648
ABW,USA,0.0,0.0,0.0,0.0,993.855,0.0,0.0,0.0,0.0,0.0
ABW,W00,563.128,0.0,32073.184,0.0,39857.541,0.0,11284.916,0.0,0.0,0.0
ABW,_X ,60.335,0.0,60.335,0.0,38863.687,0.0,11284.916,0.0,0.0,0.0
AFG,ARE,0.0,8285.991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,AUT,0.0,0.0,0.0,0.0,0.0,4950.382,0.0,9235.115,0.0,0.0
AFG,BEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.886,0.0,0.0
AFG,CAN,0.0,290.049,0.0,42552.821,0.0,0.0,0.0,83.709,0.0,65107.945
AFG,CHE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46616.389,0.0,0.0
AFG,DEU,0.0,0.0,0.0,0.0,0.0,14.824,0.0,0.0,0.0,309.123
AFG,ESP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48065.314
AFG,GBR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2927.236
AFG,GHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.656,0.0,0.0
AFG,KAZ,0.0,0.0,0.0,1996.0,0.0,0.0,0.0,60156.2,0.0,4719.05
AFG,KGZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59120.0,0.0,9900.0
AFG,MDV,0.0,1562.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,MLI,0.0,0.0,0.0,13678.923,0.0,0.0,0.0,0.0,0.0,0.0
AFG,MOZ,0.0,19978.66,0.0,26768.462,0.0,10452.781,0.0,52000.0,0.0,26424.3
AFG,MYS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3942.443,0.0,0.0
AFG,NLD,0.0,0.0,0.0,6027.245,0.0,0.0,0.0,354.656,0.0,0.0
AFG,NPL,0.0,0.0,0.0,2.12,0.0,0.0,0.0,0.0,0.0,0.0
AFG,NZL,0.0,0.0,0.0,0.0,0.0,1865.985,0.0,0.0,0.0,0.0
AFG,PAK,0.0,2141599.809,0.0,1259193.181,0.0,1142302.595,0.0,1568774.736,0.0,4331850.282
AFG,SWE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1324.799
AFG,TJK,0.0,2250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,UGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0
AFG,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6132.0
AFG,UZB,0.0,0.0,0.0,5934.0,0.0,1232.0,0.0,1600.0,0.0,150467.0
AGO,ARE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.77,0.0
AGO,ATG,0.0,0.0,64.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,BGR,0.0,0.0,0.0,0.0,0.0,509.101,0.0,77.392,0.0,0.0
AGO,BHS,224.343,0.0,0.0,0.0,0.0,0.0,104.527,0.0,0.0,0.0
AGO,CAN,0.0,0.0,0.0,0.0,62.966,0.0,0.0,0.0,237.8,0.0
AGO,COD,196850.905,0.0,5686.856,9142.534,171256.963,164476.817,249984.153,102481.72,327550.67,0.0
AGO,COG,311.279,0.0,9524.191,0.0,12063.354,0.0,1478.058,0.0,5800.1,0.0
AGO,CUB,195.599,0.0,0.0,0.0,329.158,9997.5,410.662,0.0,22557.03,0.0
AGO,CYP,0.0,0.0,0.0,0.0,45.261,0.0,0.0,0.0,0.0,0.0
AGO,DEU,469.619,0.0,0.0,0.0,0.0,0.0,0.0,47.973,0.0,0.0
AGO,ERI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.07,0.0
AGO,ESP,4988.169,0.0,29752.723,0.0,5543.066,0.0,1360.546,0.0,0.0,0.0
AGO,FRA,1700.789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.373
AGO,GBR,96.457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0
AGO,GHA,560.791,0.0,0.0,0.0,0.0,0.0,0.0,2121.152,0.0,0.0
AGO,GIB,0.0,0.0,0.0,0.0,0.0,0.0,65.522,0.0,0.0,0.0
AGO,GMB,0.0,3825.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,HKG,0.0,0.0,0.0,0.0,0.0,0.0,40.238,0.0,0.0,0.0
AGO,IND,0.0,0.0,0.0,0.0,109.591,0.0,0.0,0.0,0.0,0.0
AGO,ISL,0.0,0.0,5.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,ITA,0.0,0.0,0.0,0.0,25.293,0.0,0.0,0.0,0.0,0.0
AGO,KIR,0.0,0.0,0.0,0.0,0.0,0.0,207.41,0.0,0.0,0.0
AGO,KWT,0.0,0.0,0.0,413.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,LBR,0.0,0.0,7.076,0.0,0.0,0.0,57.808,0.0,3450.0,0.0
AGO,LUX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6156.0,0.0
AGO,MDV,0.0,0.0,0.0,0.0,0.0,0.0,2.739,0.0,0.0,0.0
AGO,MHL,0.0,0.0,0.0,0.0,0.0,0.0,597.802,0.0,0.0,0.0
AGO,MLT,101.87,0.0,0.0,0.0,1173.943,0.0,0.0,0.0,2930.0,0.0
AGO,NAM,130675.256,30556.416,1385.539,22.735,3309.389,1555.74,56910.097,101439.752,180037.74,428413.779
AGO,NER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96981.117
AGO,NLD,0.0,0.0,0.0,117.091,0.0,287.482,0.0,704.987,0.0,330.126
AGO,NOR,0.0,0.0,0.0,0.0,0.0,0.0,2299.972,0.0,0.0,0.0
AGO,PAN,0.0,0.0,1.028,0.0,71.648,0.0,226.52,0.0,0.0,0.0
AGO,PRT,0.0,0.0,0.0,0.0,15.902,105.888,11.794,220.579,6.11,0.0
AGO,SGP,0.0,0.0,1.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,TUR,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,W00,336305.786,0.0,48701.778,0.0,194006.533,0.0,313757.848,0.0,549290.29,0.0
AGO,ZAF,0.0,0.0,0.0,10.15,0.0,0.0,0.0,0.0,0.0,3.003
AGO,ZMB,129.7,0.0,2272.566,0.0,0.0,0.0,0.0,378.21,40.0,0.0
AIA,CHL,0.0,1457.16,0.0,7602.54,0.0,9885.75,0.0,15825.44,0.0,5169.59
AIA,TON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
ALB,AGO,0.0,0.0,0.0,0.0,0.0,4749.366,0.0,0.0,0.0,0.0
ALB,ARE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816.882,0.0,0.0
ALB,BIH,0.0,0.0,0.0,0.0,0.0,0.0,47259.678,0.0,0.0,0.0
ALB,CAN,0.0,0.0,987.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,CHE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.403,0.0,0.0
ALB,DEU,268.983,0.0,5679.883,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,ESP,0.0,71.251,0.0,86.991,0.0,0.0,0.0,0.0,0.0,0.0
ALB,GBR,0.0,0.0,0.0,0.0,0.0,0.0,17569.112,0.0,41639.404,30973.154
ALB,GRC,0.0,0.0,0.0,0.0,1711.722,0.0,0.0,0.0,91456.942,0.0
ALB,HUN,0.0,0.0,0.0,0.0,21035.345,0.0,0.0,0.0,0.0,0.0
ALB,ITA,0.0,0.0,0.0,0.0,81641.879,0.0,88378.555,99686.479,2945.635,2570.654
ALB,MLT,0.0,0.0,0.0,0.0,10169.57,0.0,0.0,0.0,0.0,0.0
ALB,MNE,35981.441,0.0,20972.507,21415.391,101052.125,1432.588,4704.566,0.0,6705.683,0.0
ALB,MOZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000.0,0.0,0.0
ALB,RWA,0.0,0.0,334.341,0.0,0.0,2071.38,831.215,0.0,2069.819,0.0
ALB,SRB,160724.264,0.0,15971.952,0.0,1811158.436,0.0,66425.931,0.0,65145.648,5412.0
ALB,USA,0.0,0.0,13379.209,5003.0,10579.384,26305.0,31436.407,32149.0,56340.36,60133.0
ALB,W00,196974.689,0.0,57325.072,0.0,2037348.462,0.0,256605.466,0.0,266303.489,0.0
AND,AGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.78
AND,ARM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2425.27
AND,AUT,0.0,5313.528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AND,CHE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1727.544
AND,FRA,0.0,0.0,0.0,0.0,0.0,31.591,0.0,0.0,0.0,0.0
AND,GMB,0.0,4969.593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AND,KIR,0.0,0.0,0.0,61844.041,0.0,0.0,0.0,0.0,0.0,0.0
AND,LKA,0.0,0.0,0.0,0.0,0.0,18.533,0.0,0.0,0.0,0.0
AND,NAM,0.0,31563.543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AND,RWA,0.0,0.0,0.0,0.0,0.0,2036.69,0.0,0.0,0.0,0.0
AND,SWZ,0.0,0.0,0.0,25254.89,0.0,0.0,0.0,0.0,0.0,0.0
ARE,AFG,645603.073,0.0,121133.598,0.0,127574.398,0.0,161746.416,0.0,0.0,0.0
ARE,AGO,78417.646,365811.219,2100.653,791075.052,64348.807,417623.578,24647.907,14775.4,0.0,1608467.17
ARE,ALB,0.0,0.0,269.816,0.0,2614.023,269381.119,0.0,0.0,0.0,0.0
ARE,ARG,384169.399,0.0,590385.007,0.0,903147.15,0.0,66449.283,0.0,0.0,0.0
ARE,ARM,120239.362,75.35,146510.781,60064.46,248826.463,574.18,244336.129,0.0,0.0,620.0
ARE,AUS,10214.024,187817.84,187752.705,68378.411,2995.235,113688.833,1501906.406,114071.412,0.0,28818.028
ARE,AUT,0.0,725.973,0.0,476.644,784.354,0.0,10673.928,0.0,0.0,0.0
ARE,AZE,80819.77,1295.9,58009.793,360.26,222269.263,0.0,419703.079,647.87,0.0,746.05
ARE,BDI,8306.247,21055.456,9752.61,20222.718,42830.558,35892.093,32131.441,18428.47,0.0,0.0
ARE,BEL,0.0,0.0,0.0,439.719,0.0,0.0,0.0,7.439,0.0,73.667
ARE,BEN,48710.964,36061268.938,74242.966,78019453.094,95707.281,44084988.508,78327.84,57465003.048,0.0,33466051.998
