exporterISO,exporterName,importerISO,importerName,exp_2020,imp_2020,exp_2021,imp_2021,exp_2022,imp_2022,exp_2023,imp_2023,exp_2024,imp_2024
ABW,ABW,CAN,Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.741,0.0,0.0
ABW,ABW,NLD,Netherlands,85.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,ABW,USA,United States of America,1.117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,ABW,W00,World (All partners),86.592,0.0,0.0,0.0,0.0,0.0,17180.447,0.0,0.0,0.0
ABW,ABW,_X ,Areas not elsewhere specified (NES),0.0,0.0,0.0,0.0,0.0,0.0,17180.447,0.0,0.0,0.0
AFG,Afghanistan,ARE,United Arab Emirates,0.0,0.0,0.0,0.0,0.0,5942.382,0.0,0.0,0.0,0.0
AFG,Afghanistan,CHN,China,0.0,51024.0,0.0,0.0,0.0,75502.0,0.0,30.0,0.0,1305891.0
AFG,Afghanistan,ESP,Spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,719.838
AFG,Afghanistan,MOZ,Mozambique,0.0,1358.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Afghanistan,PAK,Pakistan,0.0,307345.764,0.0,3577444.678,0.0,10417748.908,0.0,5310151.338,0.0,315826.124
AFG,Afghanistan,RUS,Russian Federation,0.0,0.0,0.0,4738.55,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Afghanistan,S19,S19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.608
AFG,Afghanistan,TUR,Türkiye,0.0,0.0,0.0,87.0,0.0,95.0,0.0,501.0,0.0,0.0
AFG,Afghanistan,UZB,Uzbekistan,0.0,0.0,0.0,0.0,0.0,7850.0,0.0,308898.0,0.0,107.0
AGO,Angola,AGO,Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413.0
AGO,Angola,ARE,United Arab Emirates,0.0,0.0,0.0,0.0,0.0,1005.582,0.0,0.0,0.0,0.0
AGO,Angola,BRA,Brazil,0.0,0.0,0.0,0.0,0.217,0.0,461.872,0.0,1.07,0.0
AGO,Angola,CHN,China,0.0,6763117.0,6616586.452,16922666.0,6320917.935,18909100.0,39166.797,53051.0,200703.74,15895.0
AGO,Angola,CIV,Côte d'Ivoire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62851.563
AGO,Angola,COD,"Congo, Democratic Republic of the",0.0,0.0,0.0,0.0,0.0,0.0,1664.183,0.0,0.0,0.0
AGO,Angola,COG,Congo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29952.0,0.0
AGO,Angola,DEU,Germany,0.0,0.0,0.0,0.0,381.496,1757.742,0.0,0.0,0.0,0.0
AGO,Angola,GEO,Georgia,0.0,0.0,0.0,0.0,9838.223,0.0,0.0,17917.74,0.0,0.0
AGO,Angola,IND,India,0.0,56340.535,0.0,0.0,923.012,0.0,0.0,0.0,0.0,12.096
AGO,Angola,ITA,Italy,0.0,0.0,0.0,0.0,0.0,1744.902,0.0,0.0,0.0,0.0
AGO,Angola,LBR,Liberia,0.0,0.0,0.0,0.0,135.085,0.0,0.0,0.0,0.0,0.0
AGO,Angola,MOZ,Mozambique,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39600.0,0.0
AGO,Angola,NAM,Namibia,0.0,0.0,0.0,0.0,8055.661,0.0,177.571,0.0,0.0,0.0
AGO,Angola,NOR,Norway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0
AGO,Angola,PRT,Portugal,0.0,0.0,0.0,0.0,6.896,0.0,46.565,1099.65,505.62,596.241
AGO,Angola,TUR,Türkiye,0.0,0.0,3230191.178,2920607.0,3012.163,0.0,0.0,0.0,0.0,0.0
AGO,Angola,USA,United States of America,0.0,0.0,76253.711,0.0,0.0,0.0,71.728,0.0,0.0,0.0
AGO,Angola,VNM,Viet Nam,0.0,806951.288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,Angola,W00,World (All partners),0.0,0.0,9927047.301,0.0,6343759.581,0.0,43215.288,0.0,271334.43,0.0
AGO,Angola,ZAF,South Africa,0.0,0.0,4015.961,1418.327,488.894,201.151,1626.571,2936.872,500.0,734.107
ALB,Albania,ARE,United Arab Emirates,6653318.429,0.0,6531589.421,0.0,0.0,0.0,12060444.176,0.0,2114665.773,0.0
ALB,Albania,AUT,Austria,87486.895,0.0,124381.152,0.0,0.0,0.0,0.0,0.0,7.646,24239.91
ALB,Albania,BEL,Belgium,0.0,0.0,168881.767,0.0,0.0,2.633,0.0,125148.744,0.0,420703.447
ALB,Albania,BGR,Bulgaria,4076275.3,4686235.925,9518109.254,9409824.066,16010089.266,14782758.403,2792419.295,2776056.662,116545.445,138803.083
ALB,Albania,CAN,Canada,0.0,0.0,0.0,7.178,0.0,3.073,0.0,0.0,0.0,4.938
ALB,Albania,CHE,Switzerland,0.0,0.0,1020378.049,0.0,0.0,0.0,3845481.809,0.0,2835066.739,0.0
ALB,Albania,CHN,China,36588664.639,57869731.0,49127945.415,91358521.0,5631920.978,154628739.0,97010942.183,147361303.0,110206598.347,169779598.0
ALB,Albania,CZE,Czechia,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0
ALB,Albania,DEU,Germany,0.0,2004.218,0.0,0.0,0.0,0.0,26.859,81.773,0.0,1.048
ALB,Albania,ESP,Spain,0.0,694117.267,0.0,119.752,0.0,0.0,52143.981,0.0,0.0,0.0
ALB,Albania,FIN,Finland,0.0,0.0,0.0,0.0,0.0,174056.302,0.0,3.244,0.0,3.144
ALB,Albania,FRA,France,452600.717,1139343.937,358674.885,538092.435,481014.216,915867.985,508122.461,623100.505,544799.317,643306.332
ALB,Albania,GEO,Georgia,0.0,0.0,8583199.45,4455764.08,0.0,4336359.73,0.0,0.0,0.0,971770.67
ALB,Albania,GRC,Greece,0.0,0.0,0.0,0.0,45236881.478,0.0,0.0,0.0,0.0,0.0
ALB,Albania,HKG,HKG,2604927.299,0.0,2396014.042,0.0,0.0,0.0,2312995.54,0.0,3870487.8,0.0
ALB,Albania,HRV,Croatia,0.0,0.0,0.0,0.0,156207.4,0.0,0.0,0.0,0.0,0.0
ALB,Albania,HUN,Hungary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
ALB,Albania,IDN,Indonesia,0.0,0.0,0.0,0.0,0.0,15515.0,0.0,13397.0,0.0,4871483.0
