commodity,year,exporterISO,exporterName,importerISO,importerName,exp_A_to_B,imp_B_from_A,abs_gap,abs_vs_relative_x,abs_vs_relative_y,mismatch_pct,exp_to_imp_ratio,exp_to_imp_ratio_zero_inclusive,exp_to_imp_ratio_case,reverse_row_present,is_suspicious,reason,severity,source_file
ores_HS26,2021,CHN,China,AUS,Australia,4695807.0,115592591230.0,115587895423.0,115587895423.0,24616.12907642925,99.99593762286145,4.062377138562914e-05,4.062377138562914e-05,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2021,AUS,Australia,CHN,China,97293584616.939,4883458.059,97288701158.87999,97288701158.87999,19923.092087917325,99.99498069880123,19923.092087917325,19923.092087917325,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2023,CHN,China,AUS,Australia,2749688.0,89743577537.0,89740827849.0,89740827849.0,32637.73109421869,99.99693606152611,3.063938473888388e-05,3.063938473888388e-05,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2022,CHN,China,AUS,Australia,5070183.0,88355192220.0,88350122037.0,88350122037.0,17426.43060812598,99.99426159021037,5.738409789631263e-05,5.738409789631263e-05,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2024,CHN,China,AUS,Australia,2347294.0,86077349719.0,86075002425.0,86075002425.0,36670.88558953416,99.9972730410408,2.7269589591951364e-05,2.7269589591951364e-05,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2020,CHN,China,AUS,Australia,6055697.0,79717766810.0,79711711113.0,79711711113.0,13164.094374272689,99.99240357922415,7.596420775851886e-05,7.596420775851886e-05,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2023,AUS,Australia,CHN,China,79375640727.013,3738578.641,79371902148.372,79371902148.372,21231.50222293612,99.99529001768457,21231.50222293612,21231.50222293612,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2022,AUS,Australia,CHN,China,74284614803.054,9248705.987,74275366097.067,74275366097.067,8031.892775861684,99.98754963458919,8031.892775861684,8031.892775861684,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2024,AUS,Australia,CHN,China,73033377273.556,2134849.415,73031242424.141,73031242424.141,34210.08374661217,99.99707688526166,34210.08374661217,34210.08374661217,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2020,AUS,Australia,CHN,China,68105728382.259,5622445.989,68100105936.270004,68100105936.270004,12113.184993773892,99.99174453291589,12113.184993773892,12113.184993773892,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
